Trading day,Type,Count
2021-01-12,Buy,85.71428571428571
2021-01-12,Sell,14.285714285714286
2021-01-13,Buy,73.07692307692308
2021-01-13,Sell,26.923076923076923
2021-01-14,Buy,88.23529411764706
2021-01-14,Sell,11.764705882352942
2021-01-15,Buy,72.72727272727273
2021-01-15,Sell,27.272727272727273
2021-01-19,Buy,75.0
2021-01-19,Sell,25.0
2021-01-20,Buy,66.66666666666667
2021-01-20,Sell,33.333333333333336
2021-01-21,Buy,74.07407407407408
2021-01-21,Sell,25.925925925925927
2021-01-22,Buy,72.72727272727273
2021-01-22,Sell,27.272727272727273
2021-01-25,Buy,85.71428571428571
2021-01-25,Sell,14.285714285714286
2021-01-26,Buy,83.33333333333333
2021-01-26,Sell,16.666666666666668
2021-01-27,Buy,79.41176470588235
2021-01-27,Sell,20.58823529411765
2021-01-28,Buy,90.9090909090909
2021-01-28,Sell,9.090909090909092
2021-01-29,Buy,100.0
2021-02-01,Buy,66.66666666666667
2021-02-01,Sell,33.333333333333336
2021-02-02,Buy,80.0
2021-02-02,Sell,20.0
2021-02-03,Buy,75.0
2021-02-03,Sell,25.0
2021-02-04,Buy,76.47058823529412
2021-02-04,Sell,23.529411764705884
2021-02-05,Buy,56.25
2021-02-05,Sell,43.75
2021-02-08,Buy,47.36842105263158
2021-02-08,Sell,52.63157894736842
2021-02-09,Buy,76.0
2021-02-09,Sell,24.0
2021-02-10,Buy,55.55555555555556
2021-02-10,Sell,44.44444444444444
2021-02-11,Buy,45.833333333333336
2021-02-11,Sell,54.166666666666664
2021-02-12,Buy,36.36363636363637
2021-02-12,Sell,63.63636363636363
2021-02-16,Buy,72.22222222222223
2021-02-16,Sell,27.77777777777778
2021-02-17,Buy,77.77777777777777
2021-02-17,Sell,22.22222222222222
2021-02-18,Buy,68.18181818181819
2021-02-18,Sell,31.818181818181817
2021-02-19,Buy,76.92307692307692
2021-02-19,Sell,23.076923076923077
2021-02-22,Buy,100.0
2021-02-23,Buy,83.33333333333333
2021-02-23,Sell,16.666666666666668
2021-02-24,Buy,77.77777777777777
2021-02-24,Sell,22.22222222222222
2021-02-25,Buy,100.0
2021-02-26,Buy,100.0
2021-03-01,Buy,100.0
2021-03-03,Buy,100.0
2021-03-04,Buy,57.142857142857146
2021-03-04,Sell,42.857142857142854
2021-03-05,Buy,33.333333333333336
2021-03-05,Sell,66.66666666666667
2021-03-08,Buy,100.0
2021-03-09,Buy,100.0
2021-03-15,Buy,100.0
2021-03-16,Buy,60.0
2021-03-16,Sell,40.0
2021-03-17,Buy,50.0
2021-03-17,Sell,50.0
2021-03-18,Buy,100.0
2021-03-22,Buy,83.33333333333333
2021-03-22,Sell,16.666666666666668
2021-03-24,Buy,50.0
2021-03-24,Sell,50.0
2021-03-25,Buy,100.0
2021-03-26,Buy,100.0
