,week_start,Trading day,Trading_time,Count,Buy Count,Sell Count,pct_buy
174,10-08-2020,Tuesday,09:00,1,1.0,0.0,1.0
175,10-08-2020,Tuesday,10:00,1,1.0,0.0,1.0
176,10-08-2020,Tuesday,13:00,4,2.0,2.0,0.5
177,10-08-2020,Tuesday,14:00,2,2.0,0.0,1.0
178,10-08-2020,Wednesday,07:00,2,0.0,2.0,0.0
179,10-08-2020,Wednesday,10:00,2,1.0,1.0,0.5
180,10-08-2020,Wednesday,11:00,2,0.0,2.0,0.0
181,10-08-2020,Wednesday,13:00,2,2.0,0.0,1.0
182,10-08-2020,Wednesday,14:00,2,2.0,0.0,1.0
183,10-08-2020,Wednesday,15:00,1,0.0,1.0,0.0
184,10-08-2020,Wednesday,18:00,1,1.0,0.0,1.0
185,17-08-2020,Friday,08:00,1,0.0,1.0,0.0
186,17-08-2020,Friday,09:00,2,1.0,1.0,0.5
187,17-08-2020,Friday,12:00,1,0.0,1.0,0.0
188,17-08-2020,Friday,13:00,1,1.0,0.0,1.0
189,17-08-2020,Friday,16:00,1,1.0,0.0,1.0
190,17-08-2020,Monday,13:00,2,1.0,1.0,0.5
191,17-08-2020,Monday,17:00,2,2.0,0.0,1.0
192,17-08-2020,Thursday,13:00,1,1.0,0.0,1.0
193,17-08-2020,Thursday,15:00,1,0.0,1.0,0.0
194,17-08-2020,Tuesday,09:00,1,0.0,1.0,0.0
195,17-08-2020,Tuesday,13:00,1,1.0,0.0,1.0
196,17-08-2020,Tuesday,15:00,2,0.0,2.0,0.0
197,17-08-2020,Wednesday,09:00,1,1.0,0.0,1.0
198,17-08-2020,Wednesday,14:00,1,1.0,0.0,1.0
199,24-08-2020,Friday,07:00,1,1.0,0.0,1.0
200,24-08-2020,Friday,13:00,1,1.0,0.0,1.0
201,24-08-2020,Friday,14:00,2,1.0,1.0,0.5
202,24-08-2020,Monday,08:00,3,3.0,0.0,1.0
203,24-08-2020,Monday,13:00,3,1.0,2.0,0.3333333333333333
204,24-08-2020,Monday,14:00,2,1.0,1.0,0.5
205,24-08-2020,Monday,15:00,1,1.0,0.0,1.0
206,24-08-2020,Thursday,07:00,1,1.0,0.0,1.0
207,24-08-2020,Thursday,08:00,1,1.0,0.0,1.0
208,24-08-2020,Thursday,13:00,2,2.0,0.0,1.0
209,24-08-2020,Thursday,14:00,1,0.0,1.0,0.0
210,24-08-2020,Thursday,16:00,2,0.0,2.0,0.0
211,24-08-2020,Tuesday,11:00,3,3.0,0.0,1.0
212,24-08-2020,Tuesday,13:00,5,5.0,0.0,1.0
213,24-08-2020,Tuesday,14:00,2,1.0,1.0,0.5
214,24-08-2020,Tuesday,19:00,2,1.0,1.0,0.5
215,24-08-2020,Wednesday,15:00,3,1.0,2.0,0.3333333333333333
216,31-08-2020,Friday,08:00,11,11.0,0.0,1.0
217,31-08-2020,Friday,13:00,5,2.0,3.0,0.4
218,31-08-2020,Friday,14:00,1,0.0,1.0,0.0
219,31-08-2020,Friday,15:00,1,0.0,1.0,0.0
220,31-08-2020,Friday,19:00,11,10.0,1.0,0.9090909090909091
221,31-08-2020,Monday,13:00,8,7.0,1.0,0.875
222,31-08-2020,Monday,14:00,6,5.0,1.0,0.8333333333333334
223,31-08-2020,Monday,15:00,4,3.0,1.0,0.75
224,31-08-2020,Monday,18:00,1,1.0,0.0,1.0
225,31-08-2020,Thursday,07:00,1,0.0,1.0,0.0
226,31-08-2020,Thursday,09:00,3,1.0,2.0,0.3333333333333333
227,31-08-2020,Thursday,13:00,3,3.0,0.0,1.0
228,31-08-2020,Thursday,14:00,3,1.0,2.0,0.3333333333333333
229,31-08-2020,Thursday,15:00,3,3.0,0.0,1.0
230,31-08-2020,Tuesday,07:00,1,1.0,0.0,1.0
231,31-08-2020,Tuesday,08:00,1,1.0,0.0,1.0
232,31-08-2020,Tuesday,10:00,1,1.0,0.0,1.0
233,31-08-2020,Tuesday,12:00,2,1.0,1.0,0.5
234,31-08-2020,Tuesday,13:00,7,4.0,3.0,0.5714285714285714
235,31-08-2020,Tuesday,14:00,3,2.0,1.0,0.6666666666666666
236,31-08-2020,Tuesday,15:00,5,5.0,0.0,1.0
237,31-08-2020,Tuesday,16:00,8,6.0,2.0,0.75
238,31-08-2020,Tuesday,19:00,1,1.0,0.0,1.0
239,31-08-2020,Wednesday,07:00,4,3.0,1.0,0.75
240,31-08-2020,Wednesday,13:00,9,5.0,4.0,0.5555555555555556
241,31-08-2020,Wednesday,14:00,5,0.0,5.0,0.0
242,31-08-2020,Wednesday,15:00,4,2.0,2.0,0.5
243,31-08-2020,Wednesday,16:00,1,1.0,0.0,1.0
244,07-09-2020,Friday,07:00,6,6.0,0.0,1.0
245,07-09-2020,Friday,10:00,1,1.0,0.0,1.0
246,07-09-2020,Friday,12:00,2,2.0,0.0,1.0
247,07-09-2020,Friday,13:00,2,2.0,0.0,1.0
248,07-09-2020,Friday,15:00,2,1.0,1.0,0.5
249,07-09-2020,Monday,09:00,1,0.0,1.0,0.0
250,07-09-2020,Monday,10:00,1,1.0,0.0,1.0
251,07-09-2020,Monday,13:00,1,0.0,1.0,0.0
252,07-09-2020,Thursday,07:00,2,2.0,0.0,1.0
253,07-09-2020,Thursday,09:00,2,1.0,1.0,0.5
254,07-09-2020,Thursday,11:00,2,0.0,2.0,0.0
255,07-09-2020,Thursday,13:00,3,0.0,3.0,0.0
256,07-09-2020,Thursday,14:00,19,13.0,6.0,0.6842105263157895
257,07-09-2020,Thursday,15:00,6,6.0,0.0,1.0
258,07-09-2020,Thursday,16:00,3,2.0,1.0,0.6666666666666666
259,07-09-2020,Thursday,17:00,2,1.0,1.0,0.5
260,07-09-2020,Thursday,19:00,2,2.0,0.0,1.0
261,07-09-2020,Tuesday,14:00,3,2.0,1.0,0.6666666666666666
262,07-09-2020,Tuesday,15:00,1,1.0,0.0,1.0
263,07-09-2020,Tuesday,17:00,1,0.0,1.0,0.0
264,07-09-2020,Wednesday,08:00,2,1.0,1.0,0.5
265,07-09-2020,Wednesday,10:00,2,1.0,1.0,0.5
266,07-09-2020,Wednesday,11:00,1,1.0,0.0,1.0
267,07-09-2020,Wednesday,12:00,1,0.0,1.0,0.0
268,07-09-2020,Wednesday,13:00,5,2.0,3.0,0.4
269,07-09-2020,Wednesday,15:00,1,1.0,0.0,1.0
270,07-09-2020,Wednesday,18:00,3,2.0,1.0,0.6666666666666666
271,07-09-2020,Wednesday,19:00,8,8.0,0.0,1.0
272,14-09-2020,Friday,14:00,6,5.0,1.0,0.8333333333333334
273,14-09-2020,Friday,16:00,1,1.0,0.0,1.0
274,14-09-2020,Friday,17:00,2,2.0,0.0,1.0
275,14-09-2020,Friday,18:00,1,1.0,0.0,1.0
276,14-09-2020,Friday,19:00,12,10.0,2.0,0.8333333333333334
277,14-09-2020,Monday,07:00,2,2.0,0.0,1.0
278,14-09-2020,Monday,08:00,4,0.0,4.0,0.0
279,14-09-2020,Monday,09:00,2,2.0,0.0,1.0
280,14-09-2020,Monday,10:00,2,0.0,2.0,0.0
281,14-09-2020,Monday,11:00,4,4.0,0.0,1.0
282,14-09-2020,Monday,12:00,2,2.0,0.0,1.0
283,14-09-2020,Monday,13:00,2,2.0,0.0,1.0
284,14-09-2020,Monday,14:00,14,12.0,2.0,0.8571428571428571
285,14-09-2020,Monday,15:00,9,8.0,1.0,0.8888888888888888
286,14-09-2020,Monday,19:00,2,2.0,0.0,1.0
287,14-09-2020,Thursday,13:00,1,1.0,0.0,1.0
288,14-09-2020,Thursday,16:00,3,3.0,0.0,1.0
